n,Time
300,0.0034418106079101562
600,0.012889623641967773
900,0.029901981353759766
1200,0.05253195762634277
1500,0.08144998550415039
1800,0.12131404876708984
2100,0.16252803802490234
2400,0.2088000774383545
2700,0.26300501823425293
3000,0.32647705078125
3300,0.3969578742980957
3600,0.4743459224700928
3900,0.6084060668945312
4200,0.6449179649353027
4500,0.7922732830047607
4800,0.8487579822540283
5100,0.9678938388824463
5400,1.0716729164123535
5700,1.2025578022003174
6000,1.3100309371948242
6300,1.444498062133789
6600,1.588007926940918
6900,1.7677650451660156
7200,1.899440050125122
7500,2.0446300506591797
7800,2.225619077682495
8100,2.400883197784424
8400,2.569014072418213
8700,2.7708327770233154
9000,2.9739291667938232
9300,3.174762010574341
9600,3.3689191341400146
9900,3.5720841884613037
10200,3.836747884750366
10500,4.022867918014526
10800,4.232785940170288
11100,4.480726718902588
11400,4.801625728607178
11700,4.982975959777832
12000,5.295141935348511
